"Course Code","Course Title","Course Length","Description","Credits Attempted","Department"
"z2010","Biology","2","Cells are introduced as the structural and functional units of life, followed by an overview of the various kingdoms with emphasis on patterns in life histories, special adaptations, basic life processes, and sources of variation, with ecological and evolutionary implications.  In the spring, students study plant physiology, reproduction, and growth.  Additional topics include human anatomy, physiology, and modern genetics.","1","Science"
"z2120","Chemistry","2","This year-long course introduces students to the basic concepts related to the chemical properties of matter.  Students conduct laboratory experiments to enhance their knowledge of lab safety and chemical reactions and to practice lab report development and presentation.  They learn chemical formula and equation writing, stoichiometric calculations, gas laws, bonding, kinetic molecular theory, and thermochemistry and receive an introduction to nuclear and organic chemistry.","1","Science"
"z2040","AP Biology","2","This year-long course explores the major themes and concepts of biology. Students acquire greater expertise in techniques and principles of lab investigations, all of which prepare students for the AP Biology exam. Biology is a prerequisite for this course.","1","Science"
"z2140","AP Chemistry","2","This course focuses on advanced studies in thermochemistry, oxidation-reduction reacations, equilibrium, reaction rates, electrochemistry, and kinetic molecular theory from the experimental and lab development perspectives. Students are prepared to take the AP Chemistry exam. Chemistry is a prerequisite for this course.","1","Science"
"2200","Word Processing","1","This one semester course teaches and cultivates basic keyboarding skills. In addition to touch typing, students integrate keying skills with word processing applications and document production in Microsoft Word.","0.5","Science"
"z2330","AP Physics B","2","This year-long course is designed to give students an introduction to the fundamental concepts of physics. The topics covered include mechanics, fluids, sound, optics, light, electricity and magnetism, velocity, and modern physics. Students are best prepared for this course if they have completed Algebra II, but students may be enrolled in Algebra II concurrently.","1","Science"
"z2350","AP Physics C","2","AP Physics C is a year-long, calculus-based course. The material covered includes mechanics, as well as electricity and magnetism. Students do a number of laboratory experiments to illustrate and reinforce the concepts. They are prepared to take the AP Physics C exam. Students must have completed or be enrolled in Calculus I.","1","Science"
"z2410","AP Environmental Science","2","This course is a year-long interdisciplinary study of Earth&rsquo;s changing environment. Students focus on current environmental issues and the scientific knowledge necessary to analyze and understand these issues. The course emphasizes understanding how the atmosphere, hydrosphere, lithosphere, cryosphere, and biosphere function and how these spheres interact with human activities. Students design and conduct laboratory and field-based experiments and are prepared to take the AP Environmental Science exam.","1","Science"
"z3000","English 8","2","English 8 provides a strong foundation for further English courses at Indian Springs. Building on and reviewing basic grammar skills, students continue honing their sentence, paragraph and essay writing craft. Students read, analyze, speak and write about various types of literature, further developing their abilities to think and write effectively. Close reading, thorough examinations of diction, characterization, and tone plus spirited group discussions help students discover larger meanings, personal connections and an author&#8217;s purpose in literary works from Ancient to Modern. Students also learn to identify major themes and recurring symbols important throughout literary /human history. Public Speaking/Oral Communication skills are also emphasized throughout the year through informal talks, formal speeches, and memorized Shakespearean monologues. ","1","English"
"z3010","English 9","2","Fundamental to this course is the installation of &#8220;literary literacies&#8221; in its students. Students in this course read many works that have impacted the Western Literary canon: <i>Gilgamesh</i>; the Bible; Classical Mythology; <i>Inferno</i>; <i>Romeo and Juliet.</i> Through cross-curricular study with their History curriculum, they learn to understand works in context, to analyze the rhetorical structures of these works, and to appreciate their place in Western cultural context. Students learn to express themselves in formal and informal writing, and to peer-edit and assess their own written work. Grammar and vocabulary study are integrated throughout the course.","1","English"
"30201","Tenth-Grade English","2","<span style=""color: #222222; font-family: arial, sans-serif; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-size-adjust: auto; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">This yearlong course emphasizes critical reading and writing skills through the study of canonical and contemporary texts from around the globe.&#160; We will read novels, short stories, drama, creative nonfiction, and poetry written during the Renaissance to the present day, with particular emphasis on works produced during the twentieth and twenty-first centuries.&#160; We will study these texts as cultural records, which illuminate and offer commentary on the contexts from which they come.&#160; Additionally, this course emphasizes writing the literary analysis essay &#8211; making defensible, well-wrought arguments about a text in lucid, edited prose.&#160; Additionally, students will write and edit personal essays in order to search out their voices as writers and values as humans.&#160; Frequent informal writing will also take place in class.&#160; Finally, students will engage in a structured vocabulary development program as well as a review of grammar, mechanics, and usage. </span>","1","English"
"z3030","AP English Language and Composition","2","Through an intensive study of works of non-fiction as well as fiction, drama, and poetry, students in this course explore the complexities and nuances of rhetoric and its uses. Designed as a preparation for the AP English Language and Composition exam, the course focuses on helping students to develop close reading techniques and to improve writing in expository and argumentative forms. The shorter material for the course, primarily drawn from The Art of the Personal Essay (Lopate), A World of Ideas (Jacobus), and The Art of the Short Story (Gioia & Gwynn), ranges from classical to contemporary. Longer works include Othello (Shakespeare), Ceremony (Silko), Going After Cacciato (O&rsquo;Brien), The Great Gatsby (Fitzgerald), and To the Lighthouse (Woolf).","1","English"
"3050","Advanced Placement Literature and Composition","2","Offering a challenging and eclectic curriculum, the AP literature elective courses examine styles, trends, and developments in literature from the sixteenth to the twenty-first centuries to help students prepare for the AP exam. While each course explores multicultural and minority voices and styles, the selected works represent some of the best and most enduring literature in poetry, drama, and fiction from around the world. Analyzing, responding to, and writing about the various works they read, students gain an understanding and appreciation for how language teaches students about themselves.","1","English"
"3200","Play Production - F","1","Through a systematic study of one-act plays, this semester course &#8212; open to seniors only &#8212; teaches advanced theatre students the fundamentals of play direction. Through discussions, classroom exercises and written papers, students learn to analyze a script to discern essential stage action, character motivation and playwright&#8217;s intention. Basic directing skills &#8212; play choice, casting, blocking, organizing of rehearsal schedules, and guiding all aspects of a production &#8212; are put into practice when each student chooses a one-act play to direct.Together the Play Production class is responsible for ALL the technical, artistic and promotional aspects of two evenings of one-act plays performed just before the winter holidays. This course is an excellent example of our Indian Springs motto, <i>""Discere Vivendo,"" </i>which means ""Learning Through Living.""","0.5","English"
"3230","Creative Writing","1","A course with multiple goals, this semester elective introduces strategies for analyzing and evaluating creative writing; focuses on developing individual students&#8217; writing skills, interests, and talents; and explores models of good writing in fiction, poetry, and creative non-fiction, drawn from sources such as Writing Fiction (Burroway and Weinberg) and The Making of a Poem: A Norton Anthology of Poetic Forms. Because writing is a means of self-discovery as well as self-expression, students keep journals to start &#8220;writing down the bones, the essential, awake speech of their minds,&#8221; following Natalie Goldberg&#8217;s advice to all writers. Students are also required to submit a portfolio of work and to help develop and contribute to a class-produced literary magazine.","0.5","English"
"3240","Philosophical Literature","1","This one-semester course examines a variety of writers and their answers to the question of living and finding &#8220;peace.&#8221; Students consider the different types of crisis that individuals must face and address in their lives. The reading list may include works by Orlando, The Kite Runner (Hosseini), The Plague (Camus), The Life of Pi (Martel), Steppenwolf (Hesse), She&#8217;s Come Undone (Lamb), Man&#8217;s Search for Meaning (Frankl) and A Year of Magical Thinking (Didion). Coursework also includes relevant films and personal essays. Students write a critical analysis essay on each of the major works and a final paper that incorporates the various philosophical approaches with their own beliefs about the nature of being human and living a meaningful life.","0.5","English"
"3250","The Bible and Its Influence on Literature","1","In this semester-long elective, students read and study portions of the Jewish and Christian scriptures. A major goal of the course is biblical literacy. Students learn to identify and understand biblical allusions in literature. The books of Job, Psalms, and Song of Solomon are also studied as early examples of poetry.","0.5","English"
"3260","Survey of Dramatic Literature","1","This one-semester course begins with a study of the origin and development of Greek drama. Students study at least one full-length play from each of the following eras and authors: Greek tragedy (Medea), English Morality play (Everyman), Shakespearean play (Othello), Restoration and Eighteenth-Century comedy (The School for Scandal), Moliere (The Cheats of Scapin), Nineteenth-Century English comedy (The Importance of Being Earnest), and Twentieth-Century American plays (Death of A Salesman, A Streetcar Named Desire, Fences). Students take a test on each play and complete one research-based paper. The course culminates with a final exam.","0.5","English"
"3270","Challenging Literature - Spring","1","Using banned and challenged books cited in 100 Banned Books (ed. Karolides, Bald, Sova) and titles from the ALA&#8217;s &#8220;100 Most Frequently Challenged books 1990-2000&#8221;, students in this course explore the issues that can lead to a given work&#8217;s being challenged or banned. Using works such as:<i> The Catcher in the Rye</i> (Salinger), <i>The Bluest Eye</i> (Morrison), <i>The Curious Incident of the Dog in the Night-Time</i> (Haddon) and <i>The Bell Jar</i> (Plath), students examine the requirements for challenges, explore their contexts, and discuss the tensions between literary merit and community standards that give rise to these challenges.","0.5","English"
"3280","Debate - F","1","This class covers the basic theories behind argumentation and debate. Students explore the various aspects of logic and reasoning, including the structures of deductive, inductive, and syllogistic arguments. Students learn research and evidence gathering techniques as they build their cases on a variety of topics. The primary focus of the class will be on Public Forum Debate. Students learn how to identify the three debate questions, how to write effective affirmative and negative cases, how to flow a debate round, how to engage in effective cross examination, as well as how to close the round by focusing the winning points. In addition to debate, students explore Original Oratory, Extemporaneous and Impromptu Speaking. Participation in local tournaments is encouraged during the course, with at least one per month being available.","0.5","English"
"z4000","Eighth-Grade Social Studies","2","This course begins the examination of history by developing students'understanding of the social sciences through the study of the Indian Springs Government, the US Government, basic economics and political economy, and Civil Rights.&#160; Divided into 4 nine week sections, this exploration enables our 8th graders to learn more about the place they live and its history, and to begin to develop the tools they will need&#160;to continue their study in much greater depth in the future.","1","History"
"z4010","World History","2","This course explores major events in the development of world history from the paleolithic world through the European Renaissance. The approach is interdisciplinary and thematic, emphasizing political, economic, social, philosophical, scientific, literary, and artistic interrelationships across time and place. Twenty-first century skills such as problem solving, information literacy, and critical thinking are stressed.","1","History"
"z4020","AP European History","2","This course is a continuation of the previous year, from 1550 to the present, with emphasis on Western Civilization. Supplemental instruction is provided for students who choose to take the AP European History exam.","1","History"
"z4040","AP United States History","2","This course traces the history of the United States from its colonial origins in the late sixteenth century to the 1980s. Through common readings, discussions, and lectures, students explore the distinctive rhythms&#8212;political, economic, and social&#8212;of the American historical experience. Grades are based on exams administered every six weeks, two research papers, and students&#8217; participation in the daily discussions. With supplementary work outside of class, students are prepared to take the AP American History exam.","1","History"
"z4050","AP United States Government and Politics","2","This year-long course gives students a perspective on government and politics in the United States.  It includes both the study of general concepts used to interpret U.S. politics and an analysis of specific examples.  Students gain familiarity with the various institutions, groups, beliefs, and ideas that constitute U.S. politics and become acquainted with the variety of theoretical perspectives and explanations of various behaviors and outcomes. Topics to be considered include the constitutional underpinnings of the U.S. government; political beliefs and behaviors; political parties, interest groups, and mass media; institutions of national government; public policy; and civil rights and liberties.","1","History"
"4160","U.S. Military History","1","This semester-long course traces the development of the military from the colonial militia companies to the current scene.  It demonstrates why the Americans inherited a fear of standing military units and initially relied on as small a military establishment as possible.  Students learn why this model worked well during the nation’s early years and then trace the events that led to the present military establishment and the role the nation plays in the world today.","0.5","History"
"42001","Vietnam: Two Views","1","Students in this semester-long course study how the war in Southeast Asia influenced public opinion in the United States and why forces were eventually withdrawn from Vietnam.  They read two books on the conflict that present opposing views.  Students reflect on the lessons from this experience and its effect on decisions weighing involvement in future battles.","0.5","History"
"4320","Microeconomics - F","1","Economics is a semester study of macroeconomics, economic systems, the US economy, and globalization and world development. The course&#8217;s primary goals are to establish a strong understanding of economic factors and their relationship, to create an economic perspective on geopolitical conflicts and issues, and to create the ability to analyze and problem solve using this global economic perspective. This course will serve as a strong foundation for college economics, international relations and business.","0.5","History"
"4320","Microeconomics - F","1","Economics is a semester study of macroeconomics, economic systems, the US economy, and globalization and world development. The course&#8217;s primary goals are to establish a strong understanding of economic factors and their relationship, to create an economic perspective on geopolitical conflicts and issues, and to create the ability to analyze and problem solve using this global economic perspective. This course will serve as a strong foundation for college economics, international relations and business.","0.5","Mathematics"
"z5010","French I","2","During the first two years, students acquire a basic proficiency in speaking, listening, reading, and writing.  An interactive video program rich in cultural content serves as a basis for class discussions which are conducted mostly in French.","1","Languages"
"z5020","French II","2","During the first two years, students acquire a basic proficiency in speaking, listening, reading, and writing.  An interactive video program rich in cultural content serves as a basis for class discussions which are conducted mostly in French.","1","Languages"
"z5030","French III","2","Students complete the acquisition of basic communication skills and begin to study literature, which provides them with opportunities for the analysis of content and style through a variety of written and spoken activities.  A grammar text supplements the course material as the students refine their control of the linguistic structures of French.","1","Languages"
"z5040","French IV","2","In the advanced levels of French, students continue their literary studies and are expected to strengthen their language skills through more in-depth class discussions, oral presentations, compositions, and the regular engagement of the French-speaking world through the use of authentic materials.  In these classes, students and teachers engage in informative conversations that range from micro-cultural studies of various Francophone localities to the often problematical and nuanced geo-political realities—past, present, and future.","1","Languages"
"z5050","AP French Language & Culture","2","In the advanced levels of French, students continue their literary studies and are expected to strengthen their language skills through more in-depth class discussions, oral presentations, compositions, and the regular engagement of the French-speaking world through the use of authentic materials. In these classes, students and teachers engage in informative conversations that range from micro-cultural studies of various Francophone localities to the often problematical and nuanced geo-political realities&mdash;past, present, and future. Students in Level V may elect to take the AP French Language exam. Students who have completed Level V prior to their senior year can receive instruction at Level VI.","1","Languages"
"5060","French VI","2","In the advanced levels of French, students continue their literary studies and are expected to strengthen their language skills through more in-depth class discussions, oral presentations, compositions, and the regular engagement of the French-speaking world through the use of authentic materials. In these classes, students and teachers engage in informative conversations that range from micro-cultural studies of various Francophone localities to the often problematical and nuanced geo-political realities&mdash;past, present, and future. Students in Level V may elect to take the AP French Language exam. Students who have completed Level V and are eligible for Level VI may elect to prepare for the AP French Literature exam.","1","Languages"
"z5110","Latin I","2","In this introductory course, students study basic vocabulary and grammar, Greek and Roman history, and the influence of the Latin language upon the English language.","1","Languages"
"z5120","Latin II","2","This course enables students to gain a more extensive vocabulary and study complex grammatical constructions.  They also study Greek and Roman mythology and examine excerpts from the writings of Julius Caesar.  At the end of the course, the students translate four poems from Ovid’s Metamorphoses and learn how to scan Latin poetry.","1","Languages"
"z5130","Latin III","2","In this course, students study Cicero and Ovid in depth.  Students are also introduced to other great Roman writers: Catullus, Horace, Livy, Martial, and Vergil.","1","Languages"
"z5140","AP Latin","2","
&#160;
<font color=""#333333"" face=""Helvetica Neue, Helvetica, Arial, sans-serif""><span style=""line-height: 18px;"">AP Latin is for fourth-year students who will read selections from Vergil's epic <i>The Aeneid</i>&#160;and Julius Caesar's <i>De bello Gallico. &#160;</i>Students have the option of taking the AP Latin exam in May.</span></font>
","1","Languages"
"z5150","Latin V","2","In Latin V the more serious Latin students examine selected works of several of Rome&rsquo;s greatest poets: Ovid, Horace, and Catullus, with the intention of taking the AP Latin Literature exam at the end of the course.","1","Languages"
"z5210","Spanish I","2","This introductory course presents the phrases, vocabulary, and basic grammar needed for simple conversational Spanish.  Group and paired activities are used on a regular basis for practice and reinforcement of skills.  The course also introduces simple reading and listening passages emphasizing comprehension without the use of translation.  The use of video is also an integral part of lower-level classes, helping students become familiar with the sounds of the language and serving as an introduction to simple discussions and to the history and culture of the world’s Spanish-speaking populations.","1","Languages"
"z5220","Spanish II","2","This course begins with a review of the present tense and then introduces the two past tenses, preterit and imperfect.  The course introduces the formal imperative and the subjunctive mood in the present.  Lastly, students learn the future and conditional tenses. Spanish II emphasizes the development of written, spoken, listening, and reading skills through short compositions, oral participation, and readings.  Students also acquire a wide range of practical vocabulary.  The course features a video series that exposes students to the vastness of the history and culture of many Spanish-speaking nations.","1","Languages"
"z5230","Spanish III","2","In addition to presenting further contextualized vocabulary and expressions, this course introduces several more advanced grammatical forms.  Students begin to develop control of these and previous forms in order to express more complex ideas.  Short stories and excerpts from original texts introduce students to the richness and variety of Spanish and Latin American literature.  Students are introduced to the world of Garcia Marquez through two of his movies.","1","Languages"
"z5240","Spanish IV","2","In this course, students read and analyze cultural and literary selections from all over the Spanish-speaking world in their original form.  In addition to the maintenance of speaking and listening skills, the course emphasizes the development of analytical writing skills through in-class essays on selected works.  The course also requires acquisition of advanced vocabulary and idiomatic expressions.  Spanish IV is designed to prepare long-term students to pursue advanced communicative and literary studies of Spanish.","1","Languages"
"z5250","AP Spanish Language & Culture","2","This course is designed to polish the skills that students have acquired throughout their years of study. In addition to independent review and intensive practice, the course emphasizes a thorough knowledge and understanding of grammar; consolidation of a broad range of sophisticated vocabulary and idiomatic expressions; ability to read and understand literary selections in the original; ability to write essays that balance treatment of content with linguistic control; effective aural comprehension and spoken communication; and evolving understanding of the target cultures. Students who complete this course are prepared to take the Advanced Placement Spanish Language examination.","1","Languages"
"z5310","Chinese I","2","This course introduces Chinese language and culture.  Students learn to speak and listen to simple conversations, as well as to write and read simplified Chinese characters.  They participate in hands-on activities and employ multimedia learning tools, including the IQChinese language-learning system.  This class provides a foundation for more advanced Chinese courses.","1","Languages"
"z5320","Chinese II","2","The course focuses on vocabulary, idioms, speaking, reading comprehension, and writing.  Students learn to recognize approximately 200 characters, enabling them to write an essay with Chinese characters.  In addition, students continue to work through the IQChinese language-learning system.","1","Languages"
"z5330","Chinese III","2","The course focuses on vocabulary, idioms, speaking, reading comprehension, and writing.  Students learn to recognize approximately 200 characters, enabling them to write an essay with Chinese characters.  In addition, students continue to work through the IQChinese language-learning system.","1","Languages"
"z6000","Foundations in Algebra and Geometry","2","This first-year course prepares students for the challenges ahead in the math curriculum. Students examine and represent numbers in various forms; demonstrate fluency in mathematical language and understanding of concepts, processes, and reasoning; develop independence in learning mathematics; investigate math&#8217;s scope and nature; and acquire a broad yet solid foundation for both algebra and geometry. They apply their learning to an array of problems.","1","Mathematics"
"z6010","Algebra I","2","This course stresses both the structure of algebra and the development of problem-solving skills.  The properties of the real number system lay the groundwork for the course.  Emphasis is placed on understanding and applying the symbolic language of mathematics in order to represent real world situations.  Topics include solving and graphing linear equations, inequalities, systems of equations, quadratic and rational equations, simplifying and evaluating radicals, rules of exponents, operations with polynomials, factoring polynomials, and operations with rational expressions.  Various problem-solving techniques are developed.","1","Mathematics"
"z6020","Geometry","2","Working chiefly within the axiomatic system of Euclidean geometry, students use logical and creative mathematical reasoning to confirm parallel, perpendicular, congruence, inequality, and similarity relationships. They develop mastery of synthetic, coordinate, and transformational methods in problem solving, and they hone their powers of spatial visualization through paper folding and other construction techniques. Content typically includes proofs, plane and space figures, locus, vectors, trigonometry of right triangles, and non-Euclidean geometries. Optional, supplemental texts and computer resources allow students to explore an array of non-traditional and advanced topics.","1","Mathematics"
"z6030","Advanced Algebra II with Trigonometry","2","This course is designed to develop the analytical skills of every student. It is similar to the Algebra Two with Trigonometry course; however, there are more topics and some topics are discussed in greater depth. The basic approach is the same in that mathematics is viewed as a language revolving around logical thought. Mastering mathematical skills is learning the language. Applying the skills to set up and solve mathematical models that describe physical situations is an effort in creative as well as analytical thinking. During the course students learn to use the graphing calculator as a helpful tool to assist them in problem solving. Topics of study include the field properties of the real numbers, coordinate geometry, functions, systems of linear inequalities, determinants, exponents, factoring, simplifying algebraic expressions, solving polynomial and fractional equations, arithmetic sequences and series, geometric sequences and series (finite and infinite), simplifying expressions involving radicals, solving equations involving radicals and an introduction to the set of complex numbers, completing the square, the quadratic formula, zeros of polynomial functions, the Fundamental Theorem of Algebra, the conic sections (circle, ellipse, parabola and hyperbola), direct variations, inverse variations, joint variations, combined variations, quadratic systems, exponential functions, logarithmic functions, the Binomial Theorem, and a thorough look at trigonometry - the six trigonometric functions and their graphs, special values of trigonometric functions, deriving and proving trigonometric identities, the law of cosines, the law of sines, inverse trigonometric functions, solving trigonometric equations, and applications of trigonometry.","1","Mathematics"
"z6050","Pre-Calculus","2","The focus of this course is on the aspects of advanced algebra and trigonometry that will be most helpful to students preparing to take calculus.  Students consider algebraic, numerical, graphic, and verbal representations of topics including various types of functions, parametric and polar equations, analytic trigonometry, partial fractions, and regression on two-variable data as well as an introduction to limits and derivatives.","1","Mathematics"
"z6060","AP Calculus BC","2","This course follows the syllabus of the Advanced Placement Calculus BC exam. Students study limits, continuity, derivatives, integrals, differential equations, and series and sequences. Application of these concepts to real-world phenomena is emphasized.","1","Mathematics"
"z6075","Calculus II","2","In this course, students study calculus of several variables. Topics covered include partial derivatives, multiple integrals, and vector calculus. Students must have completed Calculus I to enroll in this course.","1","Mathematics"
"6080","Differential Equations - F","1","Students in this course use the skills learned in calculus to investigate first- and second-order linear differential equations. Calculus I is a prerequisite, but students may enroll in Calculus II concurrently with this course.","0.5","Mathematics"
"z6100","Algebra II with Trigonometry","2","This is a year-long course designed to develop the analytical skills of every student. Mathematics is viewed as a language revolving around logical thought. Mastering mathematical skills is learning the language. Applying the skills to set up and solve mathematical models that describe physical situations is an effort in creative as well as analytical thinking. During the course students learn to use the graphing calculator as a helpful tool to assist them in problem solving. Topics of study include the field properties of the real numbers, coordinate geometry, functions, systems of linear inequalities, determinants, exponents, factoring, simplifying algebraic expressions, solving polynomial and fractional equations, arithmetic sequences and series, geometric sequences and series (finite and infinite), simplifying expressions involving radicals, solving equations involving radicals and an introduction to the set of complex numbers, completing the square, the quadratic formula, zeros of polynomial functions, the Fundamental Theorem of Algebra, the conic sections (circle, ellipse, parabola and hyperbola), direct variations, inverse variations, joint variations, combined variations, quadratic systems, exponential functions, logarithmic functions, the Binomial Theorem, and a thorough look at trigonometry - the six trigonometric functions and their graphs, special values of trigonometric functions, deriving and proving trigonometric identities, the law of cosines, the law of sines, inverse trigonometric functions, solving trigonometric equations, and applications of trigonometry.","1","Mathematics"
"6110","Trigonometry (Fall Semester Only)","1","Students who take the Algebra II course the previous year enroll in this semester-long course to complete the graduation requirement.  Topics include the six trigonometric functions and their graphs, proving trigonometric identities, the Law of Sines, the Law of Cosines, solving trigonometric equations, inverse trigonometric functions, vectors, and applications of trigonometry.","0.5","Mathematics"
"6120","A Graphical Approach to Algebra (Spring Semester Only)","1","This is a semester course designed to develop the analytical skills of every student. Mathematics is a language revolving around logical thought. Mastering mathematical skills is learning the language. Applying the skills to set up and solve mathematical models that describe physical situations is an effort in creative as well as analytical thinking. During the course students learn to use the graphing calculator as a helpful tool to assist them in problem solving. Topics of study include solving equations graphically, graphical transformations of quadratic functions, all types of the power function and the absolute value function. Included also: graphing rational functions, solving rational equations and rational inequalities. In addition, modeling with functions is explored by using data sets of real-world situations. These are entered into the graphing calculator as scatter plots. From this, the appropriate regression equation is determined and used to make reasonable predictions.","0.5","Mathematics"
"z6130","AP Statistics","2","This course is a non-calculus based introduction to statistics which exposes students to four broad themes: exploratory data analysis&mdash;observing patterns and departures from patterns; experimental design&mdash;deciding what and how to measure; pattern anticipation&mdash;introducing probability and simulation; and statistical inference&mdash;selecting and confirming appropriate models. Emphasis is placed on working with data and statistical reasoning to make conclusions about data. Students are prepared to take the AP Statistics exam.","1","Mathematics"
"z7010","Choir","2","Choir is a year-long course, taken without credit. Many Indian Springs students participate in the choir. The 150-member Concert Choir practices daily during school hours. The smaller, 60-member Chamber Choir rehearses on Monday evenings. Through these rigorous musical experiences, students have the opportunity to sing for a variety of audiences from elementary school children to symphony goers.","0","Arts"
"7020","Music History - F","1","This course examines musical style. After students develop basic skills in analysis, they apply these skills to a survey of music history. A few of the major composers, genres, forms and style characteristics are examined for each historical period. Students develop a perspective that is aural as well as verbal. All sophomores must take either this course or Tenth-Grade Art History.","0.5","Arts"
